Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	30.294132	0.000000	13.124896	-107.603154	0.000000	0.000000	-12.863137	-21.866294	-47.900028	0.000000	0.000000	-524.211213	0.000000	0.000000	0.000000	-1.707770	-672.732570
500 	40.046731	0.000000	13.774640	-136.948056	0.000000	0.000000	-11.766212	-22.942064	-49.029673	0.000000	0.000000	-342.984392	0.000000	0.000000	0.000000	-1.918313	-511.767338
1000 	34.821895	0.000000	14.036488	-143.431480	0.000000	0.000000	-11.090615	-22.040091	-47.989646	0.000000	0.000000	-344.077425	0.000000	0.000000	0.000000	-1.904539	-521.675413
1500 	32.101437	0.000000	12.122758	-141.462999	0.000000	0.000000	-10.928694	-20.381013	-47.531035	0.000000	0.000000	-322.896859	0.000000	0.000000	0.000000	-1.981919	-500.958324
2000 	44.383424	0.000000	12.886730	-146.198882	0.000000	0.000000	-11.392964	-21.894742	-47.706158	0.000000	0.000000	-328.623457	0.000000	0.000000	0.000000	-1.945183	-500.491232
2500 	34.927186	0.000000	14.334410	-145.375147	0.000000	0.000000	-11.248550	-20.723967	-48.821331	0.000000	0.000000	-336.285041	0.000000	0.000000	0.000000	-1.922625	-515.115064
3000 	39.173039	0.000000	12.147242	-142.597596	0.000000	0.000000	-10.788706	-23.769717	-48.110371	0.000000	0.000000	-319.359879	0.000000	0.000000	0.000000	-1.809545	-495.115532
3500 	37.622009	0.000000	10.923347	-148.804722	0.000000	0.000000	-11.622509	-23.455464	-48.257374	0.000000	0.000000	-330.378251	0.000000	0.000000	0.000000	-1.988199	-515.961164
4000 	28.660932	0.000000	9.180073	-144.111265	0.000000	0.000000	-11.478534	-23.622028	-49.201897	0.000000	0.000000	-326.718529	0.000000	0.000000	0.000000	-2.002469	-519.293718
4500 	39.242205	0.000000	12.338580	-151.083021	0.000000	0.000000	-11.294027	-18.612840	-46.986264	0.000000	0.000000	-340.222805	0.000000	0.000000	0.000000	-1.882429	-518.500601
5000 	41.384102	0.000000	11.111224	-145.769097	0.000000	0.000000	-11.102662	-20.147851	-47.799681	0.000000	0.000000	-341.189808	0.000000	0.000000	0.000000	-1.869191	-515.382965
5500 	34.638044	0.000000	12.443895	-148.023614	0.000000	0.000000	-11.271729	-23.431498	-47.217658	0.000000	0.000000	-336.319089	0.000000	0.000000	0.000000	-1.853818	-521.035467
6000 	51.804099	0.000000	15.963714	-149.146432	0.000000	0.000000	-11.878026	-22.689642	-47.652484	0.000000	0.000000	-335.465312	0.000000	0.000000	0.000000	-1.897346	-500.961429
6500 	40.885127	0.000000	13.918120	-140.689184	0.000000	0.000000	-12.265289	-22.450920	-47.965238	0.000000	0.000000	-348.929482	0.000000	0.000000	0.000000	-1.875425	-519.372292
7000 	40.219965	0.000000	15.459228	-133.988467	0.000000	0.000000	-11.811972	-23.748581	-47.714003	0.000000	0.000000	-342.206046	0.000000	0.000000	0.000000	-1.938615	-505.728490
7500 	37.391286	0.000000	14.123833	-139.464313	0.000000	0.000000	-12.100464	-22.794819	-48.313424	0.000000	0.000000	-350.752048	0.000000	0.000000	0.000000	-1.918956	-523.828905
8000 	38.329124	0.000000	12.090181	-144.941306	0.000000	0.000000	-12.353899	-25.359630	-48.122466	0.000000	0.000000	-340.672413	0.000000	0.000000	0.000000	-1.911931	-522.942340
8500 	38.395095	0.000000	15.006251	-131.878710	0.000000	0.000000	-12.517198	-23.663400	-47.790959	0.000000	0.000000	-326.889907	0.000000	0.000000	0.000000	-1.897916	-491.236745
9000 	38.653126	0.000000	14.795972	-141.066632	0.000000	0.000000	-11.901038	-24.922653	-48.029038	0.000000	0.000000	-337.743719	0.000000	0.000000	0.000000	-1.889039	-512.103021
9500 	37.718526	0.000000	14.843391	-138.991570	0.000000	0.000000	-11.498835	-23.121678	-48.664990	0.000000	0.000000	-334.425718	0.000000	0.000000	0.000000	-2.018571	-506.159445
10000 	36.757893	0.000000	10.329875	-134.041166	0.000000	0.000000	-10.648593	-23.306626	-47.730647	0.000000	0.000000	-335.403283	0.000000	0.000000	0.000000	-1.823035	-505.865583
10500 	34.792358	0.000000	12.127518	-138.602077	0.000000	0.000000	-12.426853	-22.084964	-48.671830	0.000000	0.000000	-350.915504	0.000000	0.000000	0.000000	-1.919750	-527.701101
11000 	39.150896	0.000000	12.611915	-126.118543	0.000000	0.000000	-11.863061	-24.230022	-48.289867	0.000000	0.000000	-343.609064	0.000000	0.000000	0.000000	-1.955840	-504.303585
11500 	35.838578	0.000000	11.343684	-134.295662	0.000000	0.000000	-12.636215	-23.977244	-47.960077	0.000000	0.000000	-342.044699	0.000000	0.000000	0.000000	-1.868778	-515.600413
12000 	35.135564	0.000000	10.452379	-144.393456	0.000000	0.000000	-10.055434	-19.004266	-48.025304	0.000000	0.000000	-331.429507	0.000000	0.000000	0.000000	-1.913739	-509.233764
12500 	35.603664	0.000000	10.621351	-145.758721	0.000000	0.000000	-11.410313	-22.308226	-48.236890	0.000000	0.000000	-318.933183	0.000000	0.000000	0.000000	-1.881746	-502.304063
13000 	38.820160	0.000000	13.235719	-146.243115	0.000000	0.000000	-10.532568	-21.067803	-48.764302	0.000000	0.000000	-324.085383	0.000000	0.000000	0.000000	-1.855044	-500.492336
13500 	41.784162	0.000000	10.373621	-141.855280	0.000000	0.000000	-11.507792	-22.785331	-47.565516	0.000000	0.000000	-330.413561	0.000000	0.000000	0.000000	-1.831824	-503.801521
14000 	34.581044	0.000000	10.721002	-143.571083	0.000000	0.000000	-11.883777	-21.845020	-48.130764	0.000000	0.000000	-321.981096	0.000000	0.000000	0.000000	-1.916976	-504.026670
14500 	34.843019	0.000000	14.214790	-143.403978	0.000000	0.000000	-10.963626	-23.408695	-48.278756	0.000000	0.000000	-318.601283	0.000000	0.000000	0.000000	-1.767393	-497.365922
15000 	44.693575	0.000000	11.894752	-143.183838	0.000000	0.000000	-11.771814	-23.665685	-48.508703	0.000000	0.000000	-330.105616	0.000000	0.000000	0.000000	-1.861303	-502.508633
15500 	39.712781	0.000000	13.287235	-138.215522	0.000000	0.000000	-11.248651	-19.685218	-47.404214	0.000000	0.000000	-326.757128	0.000000	0.000000	0.000000	-1.925034	-492.235751
16000 	46.256470	0.000000	10.853679	-137.572646	0.000000	0.000000	-12.681869	-20.861098	-48.344199	0.000000	0.000000	-346.026538	0.000000	0.000000	0.000000	-1.886593	-510.262794
16500 	45.753983	0.000000	12.571065	-144.807717	0.000000	0.000000	-10.942256	-20.374947	-47.639837	0.000000	0.000000	-335.640734	0.000000	0.000000	0.000000	-1.865709	-502.946152
17000 	38.007877	0.000000	9.902030	-139.358086	0.000000	0.000000	-10.988799	-22.727582	-47.449035	0.000000	0.000000	-336.117534	0.000000	0.000000	0.000000	-1.898546	-510.629674
17500 	38.088752	0.000000	9.361703	-146.689976	0.000000	0.000000	-11.165584	-20.732749	-48.354424	0.000000	0.000000	-328.918689	0.000000	0.000000	0.000000	-1.892169	-510.303134
18000 	38.835231	0.000000	11.667270	-140.840748	0.000000	0.000000	-11.323642	-22.766593	-48.397187	0.000000	0.000000	-328.713255	0.000000	0.000000	0.000000	-1.889245	-503.428170
